#Scan#	Adduct	CAS_Number	Charge	Compound_Name	Compound_Source	Data_Collector	ExactMass	FileScanUniqueID	INCHI	INCHI_AUX	Instrument	IonMode	Ion_Source	LibMZ	LibraryName	LibraryQualityString	Library_Class	MQScore	MZErrorPPM	MassDiff	NumberHits	Organism	PI	Precursor_MZ	Pubmed_ID	RT_Query	SharedPeaks	Smiles	SpecCharge	SpecMZ	SpectrumFile	SpectrumID	TIC_Query	UpdateWorkflowName	tags	internalFilename
10071	M+H	N/A	1	0331_Metformin	Commercial	CASMI2016	0.0	spectra/specs_ms.mgf10071	"InChI=1S/C4H11N5/c1-9(2)4(7)8-3(5)6/h1-2H3,(H5,5,6,7,8)"	N/A	Orbitrap	 Positive	LC-ESI	130.109	lib-00027.mgf	Gold	1	0.999726	3.0492	0.000396729	1	CASMI	CASMI	130.109	8007	0	6	CN(C)C(=N)N=C(N)N	1	130.109	specs_ms.mgf	CCMSLIB00000579425	7.272e+08	UPDATE-SINGLE-ANNOTATED-GOLD	 	specs_ms.mgf
2296	M+H	28047-15-6	1	phenylacetylglutamine	Other	alan_jarmusch	0.0	spectra/specs_ms.mgf2296	InChI=1S/C13H16N2O4/c14-11(16)7-6-10(13(18)19)15-12(17)8-9-4-2-1-3-5-9/h1-5,10H,6-8H2,(H2,14,16)(H,15,17)(H,18,19)/t10-/m0/s1	 	Orbitrap	Positive	LC-ESI	265.118	lib-00013.mgf	Bronze	3	0.999152	1.49642	0.000396729	1	GNPS-LIBRARY	Dorrestein	265.118	 	0	12	C1=CC=C(C=C1)CC(=O)N[C@@H](CCC(=O)N)C(=O)O	1	265.118	specs_ms.mgf	CCMSLIB00002316426	8.9116e+07	UPDATE-SINGLE-ANNOTATED-BRONZE	Urine	specs_ms.mgf
4550	M+H-H2O	7512176	1	Spectral Match to N-Acetyl-D-glucosamine from NIST14	Isolated	Data deposited by daniel	0.0	spectra/specs_ms.mgf4550	N/A	N/A	Q-TOF	Positive	ESI	204.084	lib-00032.mgf	Bronze	3	0.998866	12.2618	0.00250244	1	GNPS-NIST14-MATCHES	Data from Pieter Dorrestein	204.084	N/A	0	8	N/A	1	204.087	specs_ms.mgf	CCMSLIB00003138633	7.16e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
3522	M+H-H2O	7512176	1	N-Acetyl-D-glucosamine	Isolated	NIST	0.0	spectra/specs_ms.mgf3522	N/A	N/A	Q-TOF	Positive	ESI	204.087	lib-00033.mgf	Bronze	3	0.998803	0.971961	0.000198364	1	NIST14	NIST	204.087	N/A	0	9	N/A	1	204.087	specs_ms.mgf	CCMSLIB00000364990	5.546e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
3339	M+H-3H2O	123999	1	Azelaic acid	Isolated	NIST	0.0	spectra/specs_ms.mgf3339	InChI=1S/C9H16O4/c10-8(11)6-4-2-1-3-5-7-9(12)13/h1-7H2,(H,10,11)(H,12,13)	N/A	HCD	Positive	ESI	135.08	lib-00034.mgf	Bronze	3	0.997684	0.677765	9.15527e-05	1	NIST17	NIST	135.08	N/A	0	7	C(CCCC(=O)O)CCCC(=O)O	1	135.08	specs_ms.mgf	CCMSLIB00003465574	534000	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
2137	M+H-C5H12O	5986550	1	Patchouli alcohol	Isolated	NIST	0.0	spectra/specs_ms.mgf2137	InChI=1S/C15H26O/c1-10-5-8-15(16)13(2,3)11-6-7-14(15,4)12(10)9-11/h10-12,16H,5-9H2,1-4H3/t10-,11+,12-,14-,15+/m0/s1	N/A	HCD	Positive	ESI	135.117	lib-00034.mgf	Bronze	3	0.99766	1.58103	0.000213623	1	NIST17	NIST	135.117	N/A	0	7	CC1CCC2(C(C3CCC2(C1C3)C)(C)C)O	1	135.117	specs_ms.mgf	CCMSLIB00003556842	439000	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
6450	M+H-H2O	470826	1	Eucalyptol	Isolated	NIST	0.0	spectra/specs_ms.mgf6450	InChI=1S/C10H18O/c1-9(2)8-4-6-10(3,11-9)7-5-8/h8H,4-7H2,1-3H3	N/A	HCD	Positive	ESI	137.133	lib-00034.mgf	Bronze	3	0.997546	1.55779	0.000213623	1	NIST17	NIST	137.133	N/A	0	6	CC1(C2CCC(O1)(CC2)C)C	1	137.132	specs_ms.mgf	CCMSLIB00003705347	2.175e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
5644	M+H-H2O	470826	1	Eucalyptol	Isolated	NIST	0.0	spectra/specs_ms.mgf5644	InChI=1S/C10H18O/c1-9(2)8-4-6-10(3,11-9)7-5-8/h8H,4-7H2,1-3H3	N/A	HCD	Positive	ESI	137.133	lib-00034.mgf	Bronze	3	0.997546	1.55779	0.000213623	1	NIST17	NIST	137.133	N/A	0	6	CC1(C2CCC(O1)(CC2)C)C	1	137.132	specs_ms.mgf	CCMSLIB00003705347	2.175e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
7897	M+H-H2O	51146555	1	2-Hydroxyibuprofen	Isolated	NIST	0.0	spectra/specs_ms.mgf7897	InChI=1S/C13H18O3/c1-9(12(14)15)11-6-4-10(5-7-11)8-13(2,3)16/h4-7,9,16H,8H2,1-3H3,(H,14,15)	N/A	HCD	Positive	ESI	205.122	lib-00034.mgf	Bronze	3	0.997144	0.967054	0.000198364	1	NIST17	NIST	205.122	N/A	0	9	CC(C1=CC=C(C=C1)CC(C)(C)O)C(=O)O	1	205.122	specs_ms.mgf	CCMSLIB00003575583	5.688e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
3264	M+H	N/A	1	L-Tryptophan	Commercial	SaldanhaLL	0.0	spectra/specs_ms.mgf3264	N/A	N/A	Orbitrap	Positive	LC-ESI	205.097	lib-00013.mgf	Bronze	3	0.99712	0.967172	0.000198364	1	GNPS-LIBRARY	Wolfender/Ferreira	205.097	 	0	8	N/A	1	205.097	specs_ms.mgf	CCMSLIB00005716772	5.1163e+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
1984	M+H-C8H16O	1224926	1	5.alpha.-Androstan-3.beta.-ol	Isolated	NIST	0.0	spectra/specs_ms.mgf1984	InChI=1S/C19H32O/c1-18-9-3-4-16(18)15-6-5-13-12-14(20)7-11-19(13,2)17(15)8-10-18/h13-17,20H,3-12H2,1-2H3/t13-,14-,15-,16-,17-,18-,19-/m0/s1	N/A	HCD	Positive	ESI	149.133	lib-00034.mgf	Bronze	3	0.996943	0.716219	0.000106812	1	NIST17	NIST	149.133	N/A	0	7	CC12CCCC1C3CCC4CC(CCC4(C3CC2)C)O	1	149.132	specs_ms.mgf	CCMSLIB00003370775	3.23e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
56	[M+H]+	73-22-3	1	Massbank:BML01185 L-Tryptophan	Isolated	Massbank	0.0	spectra/specs_ms.mgf56	1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)	N/A	LC-ESI-QTOF	Positive	ESI	205.097	lib-00004.mgf	Bronze	3	0.996922	0	0	1	MASSBANK	Putative Massbank Match	205.097	N/A	0	7	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N	1	205.097	specs_ms.mgf	CCMSLIB00000205165	1.6337e+08	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
772	M+H-C8H16O	1224926	1	5.alpha.-Androstan-3.beta.-ol	Isolated	NIST	0.0	spectra/specs_ms.mgf772	InChI=1S/C19H32O/c1-18-9-3-4-16(18)15-6-5-13-12-14(20)7-11-19(13,2)17(15)8-10-18/h13-17,20H,3-12H2,1-2H3/t13-,14-,15-,16-,17-,18-,19-/m0/s1	N/A	HCD	Positive	ESI	149.133	lib-00034.mgf	Bronze	3	0.996729	0.716219	0.000106812	1	NIST17	NIST	149.133	N/A	0	7	CC12CCCC1C3CCC4CC(CCC4(C3CC2)C)O	1	149.132	specs_ms.mgf	CCMSLIB00003370775	5.45e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
102	M+H	122112	1	Spectral Match to Sulfadimethoxine from NIST14	Isolated	Data deposited by fevargas	0.0	spectra/specs_ms.mgf102	N/A	N/A	Q-TOF	Positive	ESI	311.08	lib-00032.mgf	Bronze	3	0.996727	0.588612	0.000183105	1	GNPS-NIST14-MATCHES	Data from Joshua Wollam	311.08	N/A	0	14	N/A	1	311.08	specs_ms.mgf	CCMSLIB00003138938	2.323e+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
169	M+H	60184	1	Spectral Match to L-Tyrosine from NIST14	Isolated	Data deposited by fevargas	0.0	spectra/specs_ms.mgf169	N/A	N/A	QqQ	Positive	ESI	182.081	lib-00032.mgf	Bronze	3	0.996474	0	0	1	GNPS-NIST14-MATCHES	Data from Joshua Wollam	182.081	N/A	0	7	N/A	1	182.081	specs_ms.mgf	CCMSLIB00003137613	3.58e+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
2542	M+H	5934-29-2	1	HISTIDINE	Commercial	Kelly Weldon	155.069	spectra/specs_ms.mgf2542	"InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1"	N/A	Orbitrap	Positive	ESI	156.077	lib-00015.mgf	Gold	1	0.994868	1.85753	0.000289917	1	GNPS-MSMLS	Dorrestein	156.077	N/A	0	6	N[C@@H](CC1=CNC=N1)C(O)=O	1	156.077	specs_ms.mgf	CCMSLIB00005464138	1.128e+07	UPDATE-SINGLE-ANNOTATED-GOLD	 	specs_ms.mgf
