gOTU	11129.OH010.JJK.St_bt2_wol_alignment	11129.NH001.JJK.St_bt2_wol_alignment	11129.OT1D018.JJK.St_bt2_wol_alignment	11129.OT1D004.JJK.St_bt2_wol_alignment	11129.OT1D021.JJK.St_bt2_wol_alignment	11129.OT1D016.JJK.St_bt2_wol_alignment	11129.NH024.JJK.St_bt2_wol_alignment	11129.NT1D025.JJK.St_bt2_wol_alignment	11129.OH002.JJK.St_bt2_wol_alignment	11129.NH013.JJK.St_bt2_wol_alignment	11129.NT1D012.JJK.St_bt2_wol_alignment	11129.OT1D005.JJK.St_bt2_wol_alignment	11129.NT1D001.JJK.St_bt2_wol_alignment	11129.OT1D019.JJK.St_bt2_wol_alignment	11129.OH011.JJK.St_bt2_wol_alignment	11129.NT1D013.JJK.St_bt2_wol_alignment	11129.NH012.JJK.St_bt2_wol_alignment	11129.NT1D024.JJK.St_bt2_wol_alignment	11129.NH025.JJK.St_bt2_wol_alignment	11129.OH003.JJK.St_bt2_wol_alignment	11129.OT1D017.JJK.St_bt2_wol_alignment	11129.OT1D020.JJK.St_bt2_wol_alignment	11129.NT1D027.JJK.St_bt2_wol_alignment	11129.NH026.JJK.St_bt2_wol_alignment	11129.OT1D008.JJK.St_bt2_wol_alignment	11129.NT1D010.JJK.St_bt2_wol_alignment	11129.NH011.JJK.St_bt2_wol_alignment	11129.OT1D023.JJK.St_bt2_wol_alignment	11129.OT1D014.JJK.St_bt2_wol_alignment	11129.NH028.JJK.St_bt2_wol_alignment	11129.NT1D029.JJK.St_bt2_wol_alignment	11129.OT1D006.JJK.St_bt2_wol_alignment	11129.OH012.JJK.St_bt2_wol_alignment	11129.NH034.JJK.St_bt2_wol_alignment	11129.NT1D002.JJK.St_bt2_wol_alignment	11129.NH003.JJK.St_bt2_wol_alignment	11129.OT1D015.JJK.St_bt2_wol_alignment	11129.OT1D022.JJK.St_bt2_wol_alignment	11129.OT1D009.JJK.St_bt2_wol_alignment	11129.NH010.JJK.St_bt2_wol_alignment	11129.NT1D011.JJK.St_bt2_wol_alignment	11129.OH001.JJK.St_bt2_wol_alignment	11129.NH027.JJK.St_bt2_wol_alignment	11129.NT1D026.JJK.St_bt2_wol_alignment	11129.OH024.JJK.St_bt2_wol_alignment	11129.NH002.JJK.St_bt2_wol_alignment	11129.NT1D003.JJK.St_bt2_wol_alignment	11129.OH013.JJK.St_bt2_wol_alignment	11129.OT1D007.JJK.St_bt2_wol_alignment	11129.NT1D028.JJK.St_bt2_wol_alignment	11129.NH029.JJK.St_bt2_wol_alignment	11129.OH007.JJK.St_bt2_wol_alignment	11129.NH021.JJK.St_bt2_wol_alignment	11129.NT1D020.JJK.St_bt2_wol_alignment	11129.NH016.JJK.St_bt2_wol_alignment	11129.NT1D017.JJK.St_bt2_wol_alignment	11129.OT1D024.JJK.St_bt2_wol_alignment	11129.OT1D013.JJK.St_bt2_wol_alignment	11129.OH009.JJK.St_bt2_wol_alignment	11129.OT1D001.JJK.St_bt2_wol_alignment	11129.NT1D019.JJK.St_bt2_wol_alignment	11129.NH018.JJK.St_bt2_wol_alignment	11129.OH015.JJK.St_bt2_wol_alignment	11129.NH033.JJK.St_bt2_wol_alignment	11129.NT1D032.JJK.St_bt2_wol_alignment	11129.OH022.JJK.St_bt2_wol_alignment	11129.NH004.JJK.St_bt2_wol_alignment	11129.NT1D005.JJK.St_bt2_wol_alignment	11129.OT1D012.JJK.St_bt2_wol_alignment	11129.NT1D016.JJK.St_bt2_wol_alignment	11129.NH017.JJK.St_bt2_wol_alignment	11129.OH006.JJK.St_bt2_wol_alignment	11129.NT1D021.JJK.St_bt2_wol_alignment	11129.NH020.JJK.St_bt2_wol_alignment	11129.OH023.JJK.St_bt2_wol_alignment	11129.NT1D004.JJK.St_bt2_wol_alignment	11129.NH005.JJK.St_bt2_wol_alignment	11129.OH014.JJK.St_bt2_wol_alignment	11129.NT1D033.JJK.St_bt2_wol_alignment	11129.NH019.JJK.St_bt2_wol_alignment	11129.NT1D018.JJK.St_bt2_wol_alignment	11129.OH008.JJK.St_bt2_wol_alignment	11129.NT1D030.JJK.St_bt2_wol_alignment	11129.NH031.JJK.St_bt2_wol_alignment	11129.OH017.JJK.St_bt2_wol_alignment	11129.NT1D007.JJK.St_bt2_wol_alignment	11129.NH006.JJK.St_bt2_wol_alignment	11129.OH020.JJK.St_bt2_wol_alignment	11129.OT1D003.JJK.St_bt2_wol_alignment	11129.OH019.JJK.St_bt2_wol_alignment	11129.NH008.JJK.St_bt2_wol_alignment	11129.NT1D009.JJK.St_bt2_wol_alignment	11129.OT1D011.JJK.St_bt2_wol_alignment	11129.NT1D022.JJK.St_bt2_wol_alignment	11129.NH023.JJK.St_bt2_wol_alignment	11129.OH005.JJK.St_bt2_wol_alignment	11129.NT1D015.JJK.St_bt2_wol_alignment	11129.NH014.JJK.St_bt2_wol_alignment	11129.OT1D002.JJK.St_bt2_wol_alignment	11129.NH007.JJK.St_bt2_wol_alignment	11129.NT1D006.JJK.St_bt2_wol_alignment	11129.OH021.JJK.St_bt2_wol_alignment	11129.NH030.JJK.St_bt2_wol_alignment	11129.NT1D031.JJK.St_bt2_wol_alignment	11129.OH016.JJK.St_bt2_wol_alignment	11129.NH015.JJK.St_bt2_wol_alignment	11129.NT1D014.JJK.St_bt2_wol_alignment	11129.NH022.JJK.St_bt2_wol_alignment	11129.NT1D023.JJK.St_bt2_wol_alignment	11129.OH004.JJK.St_bt2_wol_alignment	11129.NT1D008.JJK.St_bt2_wol_alignment	11129.NH009.JJK.St_bt2_wol_alignment	11129.OT1D010.JJK.St_bt2_wol_alignment	11129.OH018.JJK.St_bt2_wol_alignment
G000157935	115227.0	327.0	59.0	9.0	39.0	83.0	1.0	13.0	3.0	0.0	33.0	97115.0	3.0	88.0	367620.0	0.0	247628.0	157.0	25792.0	1.0	139.0	28.0	11.0	41.0	5.0	42.0	61.0	2.0	54862.0	150486.0	1.0	1.0	30674.0	18889.0	0.0	133388.0	67.0	20.0	22.0	2.0	35.0	41.0	261317.0	6.0	58362.0	60107.0	7.0	1835.0	9.0	454790.0	2.0	19.0	222642.0	12.0	596.0	20.0	36.0	222686.0	3.0	41.0	303.0	2.0	17.0	22925.0	16.0	3.0	1430.0	6.0	87.0	4.0	201.0	3.0	24.0	161.0	48.0	10.0	1.0	3184.0	156966.0	5.0	191608.0	389.0	307.0	143.0	13.0	20.0	90172.0	29.0	54.0	25.0	3.0	259.0	161806.0	54.0	45.0	34.0	106561.0	110289.0	52934.0	48322.0	5.0	55.0	10.0	25860.0	18.0	77.0	0.0	21.0	67.0	205.0	289.0	4.0	49.0	96549.0
G000159075	1730.0	2218.0	1197.0	3141.0	3309.0	1963.0	1991.0	1215.0	2833.0	427.0	113.0	2524.0	2082.0	1632.0	950.0	1399.0	949.0	939.0	197.0	2178.0	5187.0	4337.0	2182.0	2343.0	4177.0	152.0	3.0	2295.0	721.0	1013.0	306.0	1.0	559.0	582.0	546.0	816.0	2338.0	302.0	662.0	1027.0	682.0	2781.0	1187.0	12171.0	718.0	3095.0	399.0	2135.0	908.0	189.0	1789.0	192.0	1990.0	3890.0	2323.0	6294.0	1742.0	207.0	2.0	1783.0	1736.0	5793.0	1397.0	887.0	1409.0	5991.0	508.0	293.0	6713.0	2216.0	7892.0	1606.0	7532.0	2901.0	1691.0	3097.0	2212.0	3794.0	957.0	1247.0	388.0	3974.0	3222.0	6231.0	4638.0	711.0	705.0	63487.0	1.0	112.0	4515.0	8381.0	559.0	948.0	1548.0	1970.0	1226.0	1387.0	1808.0	738.0	2391.0	2851.0	43.0	345.0	4861.0	6666.0	5879.0	910.0	2118.0	2902.0	8727.0	1477.0	8303.0	37.0
G000433955	22971.0	3725.0	40.0	51447.0	4711.0	14669.0	11.0	51.0	20.0	2147.0	913.0	24.0	35.0	12.0	12951.0	19023.0	5204.0	26712.0	6857.0	7.0	16314.0	29.0	16832.0	23.0	41342.0	11.0	19.0	21578.0	10.0	8986.0	22938.0	4.0	29.0	74.0	1.0	8.0	30.0	3801.0	33.0	8.0	8532.0	3.0	7.0	45.0	10141.0	48574.0	41097.0	11577.0	553.0	1343.0	43.0	20.0	4401.0	12969.0	108.0	47.0	60155.0	8537.0	49.0	5773.0	41826.0	7797.0	49.0	71593.0	1148.0	5.0	2285.0	5549.0	33804.0	18522.0	13393.0	6228.0	538.0	40.0	18307.0	15325.0	8260.0	2882.0	22716.0	14.0	2.0	22.0	26875.0	9473.0	25.0	109.0	12625.0	9.0	4.0	106.0	17.0	9874.0	18549.0	106.0	7817.0	25660.0	11.0	7507.0	18584.0	5808.0	34.0	2763.0	36.0	6.0	2.0	16992.0	6395.0	39.0	62830.0	14305.0	54.0	97.0	3.0	2979.0
G000146185	14791.0	1013.0	3066.0	7394.0	23.0	581.0	1608.0	1005.0	12.0	2161.0	96.0	501.0	4745.0	54436.0	377.0	3835.0	2260.0	7798.0	209.0	201.0	12154.0	6180.0	180.0	500.0	4933.0	102.0	1.0	5752.0	2938.0	4114.0	967.0	27.0	2190.0	1048.0	3311.0	4180.0	530.0	532.0	3640.0	180.0	260.0	112.0	463.0	46634.0	3701.0	1365.0	13.0	742.0	5220.0	2860.0	104.0	2.0	19578.0	2486.0	6989.0	1257.0	5953.0	2051.0	1404.0	1027.0	759.0	1800.0	893.0	3281.0	4.0	1310.0	585.0	1742.0	396.0	852.0	3303.0	1389.0	497.0	1668.0	3337.0	63.0	64.0	2643.0	2965.0	381.0	772.0	7036.0	64.0	54.0	1691.0	2695.0	6387.0	3200.0	4.0	568.0	4467.0	506.0	160.0	3902.0	8764.0	113.0	1262.0	8078.0	4704.0	2024.0	217.0	6066.0	16.0	297.0	2388.0	12225.0	674.0	4782.0	6961.0	4969.0	1723.0	2449.0	11757.0	62.0
G000436895	10260.0	90.0	9.0	12.0	8.0	11.0	20.0	86.0	92.0	16252.0	38.0	292.0	24625.0	59693.0	121.0	10.0	4.0	20.0	20.0	0.0	212.0	259.0	61.0	66.0	26.0	42.0	0.0	59.0	90.0	5555.0	14.0	0.0	9.0	1303.0	0.0	6.0	2.0	41.0	91.0	9.0	9.0	2.0	1.0	17.0	1462.0	227.0	8.0	48.0	3.0	4.0	75.0	7.0	1.0	280.0	85.0	12.0	242.0	1.0	0.0	26.0	99.0	97.0	14.0	54.0	3.0	121.0	6.0	11.0	2.0	14796.0	370.0	32.0	16.0	127.0	41.0	121.0	5.0	12.0	9.0	61.0	0.0	76.0	14.0	156.0	24.0	151.0	8.0	2.0	5.0	2.0	0.0	48.0	18.0	165.0	12621.0	13.0	45.0	10071.0	22.0	96.0	1.0	54.0	0.0	4.0	87.0	62.0	3.0	8.0	18346.0	12.0	46.0	42.0	58.0	2.0
G001405615	6502.0	17373.0	886.0	27050.0	194.0	42140.0	3142.0	396.0	4035.0	2225.0	45.0	9558.0	460.0	5264.0	34837.0	1189.0	344.0	8970.0	123.0	60521.0	3059.0	53160.0	112.0	1633.0	1245.0	209.0	2.0	28133.0	2890.0	4651.0	765.0	30.0	731.0	157.0	333.0	251.0	10881.0	297.0	5246.0	11830.0	220.0	646.0	3630.0	34866.0	19910.0	1667.0	174.0	502.0	8765.0	189.0	69.0	12.0	31293.0	813.0	8028.0	210.0	7586.0	15817.0	47315.0	231.0	8065.0	238.0	359.0	1022.0	1149.0	926.0	7006.0	5944.0	769.0	317.0	54954.0	1062.0	2098.0	1131.0	56975.0	2238.0	9716.0	1418.0	23874.0	900.0	15840.0	14245.0	58.0	80.0	19006.0	458.0	334.0	5874.0	26.0	119391.0	107243.0	41590.0	127.0	1628.0	4525.0	1810.0	152.0	19004.0	3010.0	962.0	6.0	7768.0	57.0	61.0	13936.0	8219.0	13809.0	367.0	5492.0	1494.0	137.0	214.0	90681.0	74.0
G000297775	23319.0	75.0	19006.0	8.0	0.0	8361.0	1.0	0.0	11.0	1.0	2.0	45.0	0.0	92.0	24786.0	1.0	4974.0	127.0	2.0	13217.0	9397.0	10.0	6996.0	0.0	9487.0	32.0	1.0	6973.0	1.0	1263.0	9.0	5.0	800.0	12971.0	2.0	1.0	7.0	4689.0	1.0	0.0	8.0	1.0	4.0	0.0	6.0	240.0	2.0	681.0	259.0	286.0	10.0	7.0	65.0	1.0	13.0	5.0	3.0	0.0	1.0	0.0	0.0	21836.0	0.0	2767.0	0.0	2.0	59.0	1659.0	14.0	79.0	3.0	6.0	10.0	7.0	71.0	17.0	4.0	4301.0	866.0	2.0	2.0	10.0	14813.0	7879.0	26408.0	17554.0	0.0	52494.0	9.0	6.0	107.0	1.0	3260.0	4762.0	9.0	4.0	4607.0	3.0	7070.0	19708.0	4.0	15162.0	3.0	0.0	19053.0	101.0	0.0	1.0	0.0	3.0	289.0	5.0	15.0	0.0
G000767175	122.0	36.0	910.0	550.0	26.0	0.0	1.0	0.0	100.0	22.0	62.0	562.0	61.0	0.0	357.0	6.0	318.0	3.0	170.0	33.0	20.0	44.0	15.0	125.0	26.0	11.0	2.0	22.0	106.0	25.0	8.0	1.0	12.0	169.0	399.0	21.0	128.0	3.0	5.0	1.0	414.0	0.0	67.0	44.0	376.0	114.0	0.0	4.0	8.0	79.0	16.0	58.0	9.0	14.0	11.0	4.0	236.0	1047.0	4.0	22.0	24.0	69.0	41.0	66.0	32.0	0.0	168.0	11.0	611.0	310.0	71.0	27.0	0.0	44.0	194.0	96.0	105.0	34.0	308.0	12.0	420.0	77.0	0.0	21.0	45.0	152.0	21.0	33.0	1.0	0.0	21.0	562.0	137.0	9.0	6.0	17.0	70.0	213.0	59.0	125.0	188.0	5.0	4.0	41.0	180.0	1.0	118.0	0.0	77.0	514.0	3.0	56.0	0.0	1284.0
G000154205	17697.0	21512.0	48190.0	70258.0	8788.0	120988.0	32481.0	49590.0	27333.0	6126.0	10351.0	34442.0	57915.0	7590.0	11737.0	47871.0	4012.0	69792.0	5306.0	10449.0	29759.0	46816.0	33681.0	65388.0	184288.0	3462.0	24.0	73028.0	26688.0	69221.0	10922.0	4209.0	17349.0	46573.0	177.0	7665.0	588.0	31944.0	52365.0	16120.0	27145.0	284.0	30640.0	37286.0	11631.0	355.0	1223.0	1127.0	2910.0	8090.0	89348.0	91459.0	1487.0	16395.0	42370.0	104817.0	108561.0	19123.0	25.0	31626.0	62730.0	26471.0	71318.0	35759.0	34.0	378.0	7254.0	87078.0	81537.0	74188.0	74472.0	74547.0	986.0	56785.0	36593.0	25986.0	2956.0	8314.0	56701.0	27608.0	3949.0	49842.0	283.0	62973.0	51399.0	39997.0	8814.0	53915.0	32.0	72277.0	25909.0	40278.0	5710.0	6490.0	46745.0	90053.0	7327.0	21571.0	67820.0	24364.0	27667.0	9861.0	928.0	1249.0	586.0	39770.0	55680.0	202969.0	273.0	45979.0	59853.0	38126.0	294.0	369.0
G000315485	605.0	576.0	1918.0	2343.0	385.0	1421.0	93.0	2451.0	450.0	132.0	215.0	1421.0	848.0	245.0	395.0	57.0	129.0	2974.0	77.0	58.0	446.0	2689.0	4149.0	840.0	5877.0	404.0	3.0	1572.0	1500.0	175.0	44.0	0.0	178.0	745.0	2917.0	49.0	1424.0	1110.0	530.0	70.0	492.0	283.0	143.0	1026.0	836.0	738.0	32.0	1865.0	3125.0	25.0	445.0	76.0	210.0	205.0	298.0	3233.0	36.0	64.0	531.0	80.0	2425.0	739.0	903.0	126.0	234.0	125.0	514.0	873.0	1456.0	62.0	1973.0	225.0	51.0	4706.0	1501.0	203.0	2295.0	408.0	236.0	750.0	57.0	2302.0	113.0	392.0	380.0	2040.0	1051.0	2010.0	9.0	798.0	806.0	3209.0	158.0	52.0	3149.0	2037.0	470.0	1159.0	1918.0	248.0	181.0	145.0	13.0	115.0	1932.0	656.0	748.0	931.0	367.0	638.0	2928.0	2705.0	322.0	10.0
